379409.83, 6674482.37, 173.78, 1
379409.83, 6674482.37, -177.49, 1
379409.83, 6674482.37, -177.04, 1
379409.83, 6674482.37, -174.69, 1
379409.83, 6674482.37, -172.99, 1
379409.83, 6674482.37, 178.68, 1
379409.82, 6674482.37, -173.85, 1
379409.82, 6674482.37, 176.26, 1
379409.82, 6674482.37, -175.28, 1
379409.82, 6674482.37, -177.20, 1
379409.82, 6674482.37, 156.54, 1
379409.82, 6674482.37, 155.09, 1
379409.82, 6674482.37, 156.35, 1
379409.82, 6674482.37, 161.41, 1
379409.82, 6674482.37, 154.03, 1
379409.82, 6674482.37, 158.97, 1
379409.82, 6674482.37, 154.50, 1
379409.81, 6674482.37, 162.71, 1
379409.81, 6674482.37, 153.30, 1
379409.81, 6674482.38, 158.11, 1
379409.81, 6674482.38, 158.86, 1
379409.81, 6674482.38, 156.84, 1
379409.81, 6674482.38, 157.91, 1
379409.81, 6674482.38, 154.44, 1
379409.81, 6674482.38, 160.42, 1
379409.81, 6674482.38, 164.69, 1
379409.81, 6674482.38, 162.03, 1
379409.81, 6674482.38, 162.34, 1
379409.80, 6674482.38, 164.94, 1
379409.80, 6674482.38, 158.93, 1
379409.80, 6674482.38, 159.54, 1
379409.80, 6674482.38, -133.50, 1
379409.80, 6674482.38, -70.44, 1
379409.80, 6674482.38, -41.55, 1
379409.80, 6674482.38, -43.26, 1
379409.81, 6674482.38, -18.97, 1
379409.81, 6674482.38, -25.81, 1
379409.81, 6674482.37, -26.59, 1
379409.81, 6674482.37, -26.33, 1
379409.82, 6674482.37, -27.52, 1
379409.82, 6674482.37, -29.00, 1
379409.83, 6674482.36, -30.09, 1
379409.84, 6674482.36, -28.81, 1
379409.84, 6674482.36, -29.96, 1
379409.85, 6674482.35, -29.47, 1
379409.86, 6674482.35, -30.81, 1
379409.87, 6674482.34, -31.04, 1
379409.87, 6674482.34, -31.48, 1
379409.88, 6674482.33, -31.73, 1
379409.90, 6674482.33, -32.07, 1
379409.91, 6674482.32, -32.70, 1
379409.92, 6674482.31, -32.51, 1
379409.94, 6674482.30, -32.50, 1
379409.96, 6674482.29, -33.10, 1
379409.98, 6674482.27, -33.29, 1
379410.00, 6674482.26, -33.37, 1
379410.02, 6674482.24, -33.43, 1
379410.05, 6674482.23, -33.61, 1
379410.08, 6674482.21, -33.45, 1
379410.11, 6674482.19, -33.32, 1
379410.14, 6674482.16, -34.85, 1
379410.18, 6674482.14, -35.00, 1
379410.21, 6674482.12, -35.04, 1
379410.25, 6674482.09, -35.02, 1
379410.29, 6674482.06, -34.91, 1
379410.33, 6674482.03, -35.07, 1
379410.38, 6674482.00, -35.15, 1
379410.42, 6674481.97, -35.02, 1
379410.47, 6674481.93, -35.04, 1
379410.52, 6674481.90, -34.98, 1
379410.58, 6674481.86, -34.68, 1
379410.63, 6674481.82, -34.77, 1
379410.69, 6674481.78, -34.64, 1
379410.75, 6674481.74, -34.71, 1
379410.81, 6674481.70, -34.58, 1
379410.87, 6674481.65, -34.64, 1
379410.94, 6674481.61, -34.49, 1
379411.01, 6674481.56, -34.27, 1
379411.08, 6674481.51, -34.27, 1
379411.15, 6674481.46, -34.31, 1
379411.23, 6674481.41, -34.43, 1
379411.30, 6674481.36, -34.56, 1
379411.38, 6674481.30, -34.75, 1
379411.46, 6674481.25, -34.78, 1
379411.54, 6674481.19, -34.69, 1
379411.62, 6674481.14, -34.10, 1
379411.71, 6674481.08, -34.42, 1
379411.79, 6674481.02, -34.70, 1
379411.88, 6674480.96, -34.67, 1
379411.97, 6674480.90, -34.59, 1
379412.06, 6674480.84, -34.34, 1
379412.15, 6674480.77, -34.12, 1
379412.25, 6674480.71, -34.00, 1
379412.34, 6674480.65, -33.96, 1
379412.44, 6674480.58, -33.97, 1
379412.54, 6674480.51, -34.05, 1
379412.64, 6674480.44, -34.06, 1
379412.75, 6674480.37, -34.07, 1
379412.86, 6674480.30, -33.92, 1
379412.96, 6674480.23, -33.79, 1
379413.07, 6674480.15, -33.69, 1
379413.19, 6674480.08, -33.62, 1
379413.30, 6674480.00, -33.42, 1
379413.42, 6674479.93, -33.64, 1
379413.53, 6674479.85, -33.83, 1
379413.65, 6674479.77, -34.08, 1
379413.77, 6674479.69, -34.21, 1
379413.90, 6674479.60, -34.30, 1
379414.02, 6674479.52, -34.53, 1
379414.14, 6674479.43, -34.48, 1
379414.27, 6674479.35, -34.04, 1
379414.40, 6674479.26, -33.78, 1
379414.53, 6674479.17, -33.42, 1
379414.66, 6674479.09, -33.40, 1
379414.80, 6674479.00, -33.33, 1
379414.94, 6674478.91, -33.41, 1
379415.07, 6674478.81, -33.41, 1
379415.22, 6674478.72, -33.32, 1
379415.36, 6674478.63, -33.33, 1
379415.50, 6674478.53, -33.44, 1
379415.65, 6674478.43, -33.60, 1
379415.80, 6674478.34, -33.59, 1
379415.95, 6674478.24, -33.60, 1
379416.09, 6674478.14, -33.66, 1
379416.25, 6674478.04, -33.53, 1
379416.40, 6674477.94, -33.48, 1
379416.55, 6674477.84, -33.47, 1
379416.71, 6674477.73, -33.34, 1
379416.87, 6674477.63, -33.30, 1
379417.03, 6674477.52, -33.36, 1
379417.19, 6674477.42, -33.63, 1
379417.35, 6674477.31, -33.65, 1
379417.51, 6674477.20, -33.68, 1
379417.67, 6674477.09, -33.76, 1
379417.84, 6674476.98, -33.75, 1
379418.00, 6674476.87, -33.69, 1
379418.17, 6674476.76, -33.59, 1
379418.34, 6674476.65, -33.63, 1
379418.51, 6674476.54, -33.50, 1
379418.68, 6674476.42, -33.62, 1
379418.85, 6674476.31, -33.53, 1
379419.03, 6674476.19, -33.69, 1
379419.20, 6674476.08, -33.68, 1
379419.38, 6674475.96, -33.65, 1
379419.56, 6674475.84, -33.82, 1
379419.74, 6674475.72, -33.76, 1
379419.91, 6674475.60, -33.81, 1
379420.10, 6674475.48, -33.85, 1
379420.28, 6674475.36, -33.77, 1
379420.46, 6674475.24, -33.86, 1
379420.64, 6674475.11, -33.68, 1
379420.83, 6674474.99, -33.66, 1
379421.02, 6674474.86, -33.60, 1
379421.20, 6674474.74, -33.63, 1
379421.39, 6674474.61, -33.65, 1
379421.58, 6674474.49, -33.72, 1
379421.77, 6674474.36, -33.83, 1
379421.97, 6674474.23, -33.86, 1
379422.16, 6674474.10, -33.91, 1
379422.35, 6674473.97, -33.98, 1
379422.55, 6674473.84, -34.09, 1
379422.74, 6674473.71, -34.09, 1
379422.93, 6674473.58, -34.01, 1
379423.13, 6674473.45, -33.86, 1
379423.33, 6674473.31, -33.75, 1
379423.52, 6674473.18, -33.83, 1
379423.72, 6674473.05, -33.93, 1
379423.92, 6674472.92, -34.08, 1
379424.12, 6674472.78, -34.18, 1
379424.32, 6674472.65, -34.23, 1
379424.52, 6674472.51, -34.12, 1
379424.72, 6674472.37, -34.10, 1
379424.92, 6674472.24, -34.13, 1
379425.12, 6674472.10, -34.23, 1
379425.32, 6674471.96, -34.23, 1
